region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brazil,State,2021-01-05,58081,1188,10,22,44173.2,844.1000000000001
Brazil,State,2021-01-06,62481,1230,10,22,43291.6,818.8500000000001
Brazil,State,2021-01-07,87955,1518,10,22,46134.9,861.5500000000001
Brazil,State,2021-01-08,59576,1078,10,22,50718.95,950.85
Brazil,State,2021-01-09,51388,1008,10,22,55014.15,1026.5
Brazil,State,2021-01-10,29027,489,10,22,57728.8,1051.9
Brazil,State,2021-01-11,30739,491,10,22,58076.950000000004,1038.5
Brazil,State,2021-01-12,64415,1125,10,22,55047.75,979.35
Brazil,State,2021-01-13,59806,1264,10,22,50688.100000000006,900.9
Brazil,State,2021-01-14,68317,1154,10,22,49692.950000000004,878.4
Brazil,State,2021-01-15,69087,1136,10,22,52002.549999999996,931.3000000000001
Brazil,State,2021-01-16,58438,1014,10,22,55184.6,1019.4
Brazil,State,2021-01-17,31414,551,10,22,56203.299999999996,1059.5
Brazil,State,2021-01-18,28924,476,10,22,55736.5,1050.8500000000001
Brazil,State,2021-01-19,62137,1160,10,22,53670.9,1016.9000000000001
Brazil,State,2021-01-20,64470,1395,10,22,49752.950000000004,966.5500000000001
Brazil,State,2021-01-21,58937,1347,10,22,47983.00000000001,951.2000000000002
Brazil,State,2021-01-22,56591,1071,10,22,49808.35,997.45
Brazil,State,2021-01-23,58294,1145,10,22,53066.7,1084.75
Brazil,State,2021-01-24,28517,594,10,22,54525.049999999996,1129
Brazil,State,2021-01-25,30528,689,10,22,53824.399999999994,1115.05
Brazil,State,2021-01-26,61598,1154,10,22,51704.45,1065.95
Brazil,State,2021-01-27,64761,1336,10,22,48746.90000000001,1004.55
Brazil,State,2021-01-28,60744,1437,10,22,47239.700000000004,987.8000000000001
Brazil,State,2021-01-29,59484,1084,10,22,48432.30000000001,1023.6500000000001
Brazil,State,2021-01-30,53110,1192,10,22,51055.100000000006,1083.15
Brazil,State,2021-01-31,27898,568,10,22,51887.85,1117.3500000000001
Brazil,State,2021-02-01,28479,622,10,22,50469.40000000001,1102.25
Brazil,State,2021-02-02,56262,1259,10,22,47817.65,1034.85
Brazil,State,2021-02-03,54401,1197,10,22,44543.2,969.2000000000002
Brazil,State,2021-02-04,57100,1276,10,22,42902.65,957.1
Brazil,State,2021-02-05,51681,1251,10,22,44467.2,1002.85
Brazil,State,2021-02-06,46309,937,10,22,47382.95,1083.45
Brazil,State,2021-02-07,26161,488,10,22,48272.45,1122.45
Brazil,State,2021-02-08,28578,720,10,22,47428.55,1111.8999999999999
Brazil,State,2021-02-09,51205,1314,10,22,45632.1,1072.15
Brazil,State,2021-02-10,61094,1361,10,22,43019.100000000006,1008.9499999999999
Brazil,State,2021-02-11,53598,1441,10,22,42672.85,984.65
Brazil,State,2021-02-12,48933,1220,10,22,44673.350000000006,1027.45
Brazil,State,2021-02-13,44852,1025,10,22,46970.50000000001,1098.4
Brazil,State,2021-02-14,30720,653,10,22,48261.50000000001,1135.1000000000001
Brazil,State,2021-02-15,25801,610,10,22,47871.9,1119.3999999999999
Brazil,State,2021-02-16,65264,1092,10,22,46229.950000000004,1061.15
Brazil,State,2021-02-17,47216,1189,10,22,44169.049999999996,993.95
Brazil,State,2021-02-18,53466,1438,10,22,44249.5,985.15
Brazil,State,2021-02-19,52137,1330,10,22,46917.95,1041.45
Brazil,State,2021-02-20,52370,1031,10,22,50774.50000000001,1129.35
Brazil,State,2021-02-21,29483,606,10,22,52804.2,1190.15
Brazil,State,2021-02-22,31830,711,10,22,53270.05000000001,1205.8500000000001
Brazil,State,2021-02-23,63564,1358,10,22,52824.65000000001,1175.7000000000003
Brazil,State,2021-02-24,65377,1446,10,22,51231.15,1117.2
Brazil,State,2021-02-25,68275,1575,10,22,51008.600000000006,1126.5
Brazil,State,2021-02-26,63384,1343,10,22,53544.8,1223
Brazil,State,2021-02-27,58413,1252,10,22,57923.6,1339.75
Brazil,State,2021-02-28,33361,772,10,22,60578.350000000006,1412.2500000000002
Brazil,State,2021-03-01,40372,826,10,22,61101,1432.15
Brazil,State,2021-03-02,59684,1721,10,22,61847.65000000001,1410.45
Brazil,State,2021-03-03,72893,1846,10,22,61177.3,1375.3500000000001
Brazil,State,2021-03-04,75996,1806,10,22,60480.100000000006,1398.95
Brazil,State,2021-03-05,72493,1713,10,22,63528.55000000001,1514.1499999999996
Brazil,State,2021-03-06,66901,1489,10,22,67767.75000000001,1662.8999999999999
Brazil,State,2021-03-07,81684,1098,10,22,70741.09999999999,1751.3499999999997
Brazil,State,2021-03-08,36568,1118,10,22,71752.6,1776.8500000000001
Brazil,State,2021-03-09,71285,1949,10,22,69997.55,1745.4499999999998
Brazil,State,2021-03-10,81458,2379,10,22,66960.3,1689.5500000000002
Brazil,State,2021-03-11,77059,2194,10,22,66487.05,1738.45
Brazil,State,2021-03-12,82464,2122,10,22,67771.3,1884.5500000000004
Brazil,State,2021-03-13,70343,1955,10,22,70686.6,2042.9500000000005
Brazil,State,2021-03-14,43445,1069,10,22,74094.35,2158.4500000000003
