region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Texas,County,50,1,0.02,0.9056077928202588,50,0.004116454003175174,0.003636903717825879,0.05538556276879544,0.09843832004388535,6,38
Texas,County,49,1,0.02040816326530612,0.9014913388170837,49.00000000000001,4.79550285349295e-4,0.09424569172555575,0.05538556276879544,0.09843832004388535,7,38
Texas,County,51,1,0.0196078431372549,0.881546799021244,51,-0.02406099379901483,-0.028177447802190003,0.05538556276879544,0.09843832004388535,8,38
Texas,County,62,1,0.016129032258064516,0.8519408230899844,62,0.029727816201306823,0.1352069033049208,0.05538556276879544,0.09843832004388535,9,38
Texas,County,65,1,0.015384615384615385,0.7774781146727916,65,0.010564112049234686,-6.995855076875612e-4,0.05538556276879544,0.09843832004388535,10,38
USA,State,27,1,0.037037037037037035,2.3158856377678783,27,-0.06443786446514288,0.664462161761433,0.11024609724711237,0.1785166479458259,1,27
USA,State,30,1,0.03333333333333333,2.215601058945389,30,-0.01719508028878014,0.22540306994142645,0.11024609724711237,0.1785166479458259,2,27
USA,State,37,1,0.02702702702702703,1.805096513548904,37,-0.054652793960487056,-0.168649738249244,0.11024609724711237,0.1785166479458259,3,27
USA,State,38,1,0.02631578947368421,1.752287507547673,38,-0.052809006001231173,0.0018437879592558826,0.11024609724711237,0.1785166479458259,4,27
USA,State,39,1,0.02564102564102564,1.7089643985405318,39,-0.04332310900714109,0.009485896994090082,0.11024609724711237,0.1785166479458259,5,27
USA,State,40,1,0.025,1.683530874381444,40,-0.025433524159087728,0.017889584848053364,0.11024609724711237,0.1785166479458259,6,27
USA,State,41,1,0.024390243902439025,1.632357145695117,41,-0.05117372868632719,-0.025740204527239463,0.11024609724711237,0.1785166479458259,7,27
USA,State,42,1,0.023809523809523808,1.6013594670773177,42,-0.03099767861779923,0.020176050068527962,0.11024609724711237,0.1785166479458259,8,27
USA,State,43,1,0.023255813953488372,1.5523601675576986,43,-0.04899929951961912,-0.018001620901819892,0.11024609724711237,0.1785166479458259,9,27
USA,State,45,1,0.022222222222222223,1.4832985000654837,45,0.01994728219785258,0.10895623188792003,0.11024609724711237,0.1785166479458259,10,27
Virginia,County,290,1,0.0034482758620689655,0.757424872602987,290,0.028831849510804752,0.03616124040743196,0.038925587650584195,0.0630958986650861,1,47
Virginia,County,454,1,0.0022026431718061676,0.7463423496186078,453.99999999999994,-0.029040098773331247,0.02153092898271669,0.038925587650584195,0.0630958986650861,2,47
Virginia,County,161,1,0.006211180124223602,0.5201682843859589,161,0.01816805957248402,0.23856756879216967,0.038925587650584195,0.0630958986650861,3,47
Virginia,County,352,1,0.002840909090909091,0.4089349185155355,352,0.009655672505215707,0.060880739432809416,0.038925587650584195,0.0630958986650861,4,47
Virginia,County,166,1,0.006024096385542169,0.40501765134298845,166,0.024694396803584817,-0.04813965756775024,0.038925587650584195,0.0630958986650861,5,47
Virginia,County,170,1,0.0058823529411764705,0.3608954313488905,170,0.027417495927843594,0.08002830770007485,0.038925587650584195,0.0630958986650861,6,47
Virginia,County,47,1,0.02127659574468085,0.3241142151666365,47,0.03294043186130513,0.017670942826953473,0.038925587650584195,0.0630958986650861,7,47
Virginia,County,346,1,0.002890173410404624,0.3068015428493934,346,-0.009421117892364328,0.12289618834854416,0.038925587650584195,0.0630958986650861,8,47
Virginia,County,408,1,0.0024509803921568627,0.298365380845453,408,-0.025280629308986446,0.165249562730779,0.038925587650584195,0.0630958986650861,9,47
Virginia,County,460,1,0.002173913043478261,0.29829696458037275,460,0.00933451431467347,0.20013872439957153,0.038925587650584195,0.0630958986650861,10,47
World,Country,19,1,0.05263157894736842,2.3921199276988556,19,0.04364334521370017,0.6382241245637408,0.1666682303147948,0.14131700894416824,1,19
World,Country,23,1,0.043478260869565216,1.7748926637320397,23,0.07301461932029985,0.17742200939127661,0.1666682303147948,0.14131700894416824,2,19
World,Country,22,1,0.045454545454545456,1.7018780444117398,22,-0.10440739007097677,0.8285380751092988,0.1666682303147948,0.14131700894416824,3,19
World,Country,25,1,0.04,1.6233082979283642,25,-0.05089959514219489,0.04978517551928574,0.1666682303147948,0.14131700894416824,4,19
World,Country,26,1,0.038461538461538464,1.5237342099138014,26,-0.0995740880145628,-0.048674492872367914,0.1666682303147948,0.14131700894416824,5,19
World,Country,27,1,0.037037037037037035,1.4833759293684676,27,-0.04035828054533375,0.059215807469229054,0.1666682303147948,0.14131700894416824,6,19
World,Country,28,1,0.03571428571428571,1.4284826408620288,28,-0.05489328850643882,-0.014535007961105073,0.1666682303147948,0.14131700894416824,7,19
World,Country,29,1,0.034482758620689655,1.4084618074044644,29,-0.020020833457564446,0.03487245504887437,0.1666682303147948,0.14131700894416824,8,19
World,Country,32,1,0.03125,1.322784464320751,32,0.005680319205835893,-0.0532982778748039,0.1666682303147948,0.14131700894416824,9,19
World,Country,31,1,0.03225806451612903,1.317104145114915,31,0.058978597080639794,0.20931485645082892,0.1666682303147948,0.14131700894416824,10,19
